ExerciseType,Start,End,Duration,MeanSpeed,MaxSpeed,Distance,Calories
1001,1572439659656,1572440211929,552273,2.0050924,2.47,1106,48
1001,1572445140000,1572446092880,952880,1.234867,1.4444444,1176.6799,60.82
1001,1572472195873,1572472643124,447251,2.2159193,2.5,986,43
1001,1572478366529,1572478615127,248598,2.4150898,2.5,594,52
1001,1572533707753,1572534181011,473258,2.0969584,2.4066668,985,43
1001,1572536941502,1572537406753,465251,2.046731,2.5,949,42
1001,1572541043747,1572541642458,598711,2.0316288,2.4833333,1212,54
1001,1572547643836,1572548162109,518273,2.0543466,2.5,1064,49
1001,1572612537615,1572613059436,521821,2.048293,2.5,1065,46
1001,1572618412137,1572618835334,423197,2.0116255,2.5,844,38
1001,1572875354579,1572875891850,537271,2.0140982,2.5,1081,50
1001,1572886515607,1572886917865,402258,2.0771203,2.5,832,38
1001,1572907665178,1572908098229,433051,2.136186,2.5,918,42
1001,1572916143001,1572916562522,419521,2.1450088,2.5,896,40
1001,1572967047591,1572967565115,517524,2.03645,2.5,1046,49
1001,1572972231171,1572972715408,484237,2.1201222,2.5,1026,46
1001,1572977717696,1572978286988,569292,2.119941,2.5,1204,54
1001,1572983468576,1572983964721,496145,2.1493895,2.49,1059,48
1001,1572988714181,1572989267536,553355,2.0704365,2.5,1142,51
1001,1572992645318,1572993118569,473251,2.1238034,2.4533334,1002,43
1001,1573047860774,1573048404430,543656,1.9496672,2.49,1058,47
1001,1573054324000,1573055464725,1140725,1.2093537,1.6666666,1379.54,71.72
1001,1573080420633,1573080885886,465253,2.2076902,2.5,1026,44
1001,1573088761454,1573089136292,374838,2.3250365,2.5,864,47
1001,1573139868486,1573140408798,540312,1.966373,2.5,1059,48
1001,1573145088117,1573145579287,491170,2.0149267,2.5,989,48
1001,1573156110139,1573156591349,481210,2.1096826,2.5,1012,47
1001,1573220691258,1573221207549,516291,2.0607212,2.5,1057,48
1001,1573231966551,1573232556850,590299,2.0770385,2.5,1221,55
1001,1573571968237,1573572497483,529246,2.0082848,2.5,1060,50
1001,1573577230512,1573577701797,471285,1.9784993,2.5,925,45
1001,1573652929311,1573653457605,528294,2.0308158,2.4733334,1070,51
1001,1573658795500,1573659628021,832521,1.7569288,2.4833333,1459,77
1001,1573685250153,1573685867433,617280,1.7709222,2.4833333,1090,56
1001,1573691973331,1573692639429,666098,1.5274209,2.3133333,1014,64
1001,1573744654378,1573745163409,509031,2.0331128,2.4766667,1032,50
1001,1573750187083,1573750670277,483194,2.0981896,2.45,1009,48
1001,1573755473285,1573756030573,557288,2.150133,2.5,1195,61
